GOTeDNA_ID,GOTeDNA_version,basisOfRecord,replicate,materialSampleID,eventID,recordedBy,target_gene,target_subfragment,scientificName,taxonID,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,quantificationCycle,concentrationUnit,concentration,pcr_primer_lod,thresholdQuantificationCycle,baselineValue
11,,MaterialSample,2,BOF-23-40,11-BOF-23-40-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-40-2-Cmae,,,copies/L,429.5060258,3.09,,
11,,MaterialSample,3,BOF-23-40,11-BOF-23-40-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-40-3-Cmae,,,copies/L,587.9421676,3.09,,
11,,MaterialSample,1,BOF-23-41,11-BOF-23-41-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-41-1-Cmae,,,copies/L,1507.785002,3.09,,
11,,MaterialSample,2,BOF-23-41,11-BOF-23-41-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-41-2-Cmae,,,copies/L,1681.93849,3.09,,
11,,MaterialSample,3,BOF-23-41,11-BOF-23-41-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-41-3-Cmae,,,copies/L,2088.107071,3.09,,
11,,MaterialSample,1,BOF-23-42,11-BOF-23-42-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-42-1-Cmae,,,copies/L,1467.517209,3.09,,
11,,MaterialSample,2,BOF-23-42,11-BOF-23-42-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-42-2-Cmae,,,copies/L,1433.241019,3.09,,
11,,MaterialSample,3,BOF-23-42,11-BOF-23-42-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-42-3-Cmae,,,copies/L,1366.669348,3.09,,
11,,MaterialSample,1,BOF-23-43,11-BOF-23-43-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-43-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-43,11-BOF-23-43-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-43-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-43,11-BOF-23-43-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-43-3-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,1,BOF-23-51,11-BOF-23-51-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-51-1-Cmae,,,copies/L,12323.14063,3.09,,
11,,MaterialSample,2,BOF-23-51,11-BOF-23-51-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-51-2-Cmae,,,copies/L,11914.02563,3.09,,
11,,MaterialSample,3,BOF-23-51,11-BOF-23-51-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-51-3-Cmae,,,copies/L,13365.20804,3.09,,
11,,MaterialSample,1,BOF-23-52,11-BOF-23-52-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-52-1-Cmae,,,copies/L,1600.787816,3.09,,
11,,MaterialSample,2,BOF-23-52,11-BOF-23-52-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-52-2-Cmae,,,copies/L,1471.49062,3.09,,
11,,MaterialSample,3,BOF-23-52,11-BOF-23-52-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-52-3-Cmae,,,copies/L,852.1266944,3.09,,
11,,MaterialSample,1,BOF-23-53,11-BOF-23-53-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-53-1-Cmae,,,copies/L,96015.37612,3.09,,
11,,MaterialSample,2,BOF-23-53,11-BOF-23-53-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-53-2-Cmae,,,copies/L,77981.706,3.09,,
11,,MaterialSample,3,BOF-23-53,11-BOF-23-53-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-53-3-Cmae,,,copies/L,78116.09701,3.09,,
11,,MaterialSample,1,BOF-23-54,11-BOF-23-54-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-54-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-54,11-BOF-23-54-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-54-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-54,11-BOF-23-54-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-54-3-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,1,BOF-23-60,11-BOF-23-60-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-60-1-Cmae,,,copies/L,4767.073702,3.09,,
11,,MaterialSample,2,BOF-23-60,11-BOF-23-60-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-60-2-Cmae,,,copies/L,4707.871659,3.09,,
11,,MaterialSample,3,BOF-23-60,11-BOF-23-60-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-60-3-Cmae,,,copies/L,4271.725701,3.09,,
11,,MaterialSample,1,BOF-23-61,11-BOF-23-61-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-61-1-Cmae,,,copies/L,5811.750009,3.09,,
11,,MaterialSample,2,BOF-23-61,11-BOF-23-61-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-61-2-Cmae,,,copies/L,5195.722648,3.09,,
11,,MaterialSample,3,BOF-23-61,11-BOF-23-61-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-61-3-Cmae,,,copies/L,6082.045335,3.09,,
11,,MaterialSample,1,BOF-23-62,11-BOF-23-62-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-62-1-Cmae,,,copies/L,1173.246934,3.09,,
11,,MaterialSample,2,BOF-23-62,11-BOF-23-62-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-62-2-Cmae,,,copies/L,1331.057491,3.09,,
